School Name,School Number,Closed,School Street,School City,School Zip,Grade Low,Grade High,Enrollment,School Accreditations,District Name,District Number,District Enrollment,District Street,District City,District Zip,County Name,County Number,Region Name
Primrose School of Castle Hills,57255025,FALSE,1824 King Arthur Blvd,Carrollton,75010,Early Education,Kindergarten,161,COGNIA : 2005,LEWISVILLE ISD,61902,52528,P O BOX 217,LEWISVILLE,75067-0217,Dallas,57,11
Primrose School of Chase Oaks,57244015,FALSE,6525 Chase Oaks Blvd,Plano,75023,Early Education,Kindergarten,200,COGNIA : 2000,PLANO ISD,43910,55185,2700 W 15TH,PLANO,75075-7524,Dallas,57,10
Primrose School of Coppell,57245016,FALSE,275 E. Parkway Blvd,Coppell,75019,Early Education,Kindergarten,184,COGNIA : 2001,COPPELL ISD,57922,10999,200 S DENTON TAP RD,COPPELL,75019-3205,Dallas,57,10
Primrose School of Dallas at Kessler Park,57605001,FALSE,330 S RL Thornton Fwy,Dallas,75203,Pre-K,Pre-K,100,COGNIA : 2025,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Primrose School of Firewheel,57271001,FALSE,5074 N. George Bush Hwy,Garland,75040,Early Education,Pre-K,117,COGNIA : 2010,GARLAND ISD,57909,58059,501 S JUPITER,GARLAND,75042-7108,Dallas,57,10
Primrose School of Grand Peninsula,57213001,FALSE,2430 Grand Peninsula Dr.,Grand Prairie,75054,Pre-K,Kindergarten,125,COGNIA : 2010,MANSFIELD ISD,220908,32879,605 E BROAD ST,MANSFIELD,76063-1794,Dallas,57,11
Primrose School of Highland Village,57265027,FALSE,2100 Highland Village Rd,Highland Village,75077,Pre-K,Kindergarten,131,COGNIA : 2001,LEWISVILLE ISD,61902,52528,P O BOX 217,LEWISVILLE,75067-0217,Dallas,57,11
Primrose School of Las Colinas,57270001,FALSE,700 Fluor Dr.,Irving,75039,Early Education,Kindergarten,146,COGNIA : 2010,CARROLLTON-FARMERS BRANCH ISD,57903,26385,P O BOX 115186,CARROLLTON,75011-5186,Dallas,57,10
Primrose School of NE Flower Mound,57258028,FALSE,3939 Morriss Road,Flower Mound,75028,Pre-K,Kindergarten,79,COGNIA : 2001,LEWISVILLE ISD,61902,52528,P O BOX 217,LEWISVILLE,75067-0217,Dallas,57,11
Primrose School of North Lewisville,57259029,FALSE,1480 N. Valley Pkwy,Lewisville,75077,Pre-K,Kindergarten,151,COGNIA : 2004,LEWISVILLE ISD,61902,52528,P O BOX 217,LEWISVILLE,75067-0217,Dallas,57,11
Primrose School of North Richardson at Lookout,57640001,FALSE,2425 N. Plano Road,Richardson,75082,Pre-K,Kindergarten,248,COGNIA : 2023,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Primrose School of Old Orchard,57260030,TRUE,1253 W. Round Grove Rd,Lewisville,75067,Pre-K,Kindergarten,140,COGNIA : 2001,LEWISVILLE ISD,61902,52528,P O BOX 217,LEWISVILLE,75067-0217,Dallas,57,11
Primrose School of Park Cities,57650001,FALSE,4011 Inwood Road,Dallas,75209,Pre-K,Kindergarten,180,COGNIA : 2023,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Primrose School of Plano at Deerfield,57264026,FALSE,4100 Hedgcoxe Rd,Plano,75024,Pre-K,Kindergarten,163,COGNIA : 2001,PLANO ISD,43910,55185,2700 W 15TH,PLANO,75075-7524,Dallas,57,10
Primrose School of Plano at Preston Meadow,57246017,FALSE,5801 Coit Rd,Plano,75093,Pre-K,Kindergarten,134,COGNIA : 1999,PLANO ISD,43910,55185,2700 W 15TH,PLANO,75075-7524,Dallas,57,10
Primrose School of Preston Hollow,57241001,TRUE,10715 Preston Rd,Dallas,75230,Pre-K,Kindergarten,162,COGNIA : 2017,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Primrose School of Prestonwood,57254001,FALSE,15237 Montfort Drive,Dallas,75248,Pre-K,Kindergarten,180,COGNIA : 2013,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Primrose School of Richardson,57225001,FALSE,1100 Jonsson Blvd,Richardson,75080,Pre-K,Pre-K,146,COGNIA : 2018,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Primrose School of Rockwall,57247018,FALSE,3115 Ridge Road,Rockwall,75032,Pre-K,Kindergarten,176,COGNIA : 2000,ROCKWALL ISD,199901,14486,1050 WILLIAMS,ROCKWALL,75087-3832,Dallas,57,10
Primrose School of Rowlett,57248019,FALSE,8401 Liberty Grove Rd,Rowlett,75089,Pre-K,Kindergarten,170,COGNIA : 2006,GARLAND ISD,57909,58059,501 S JUPITER,GARLAND,75042-7108,Dallas,57,10
Primrose School of Stone Brooke,57249020,FALSE,5651 West Virginia Pkwy,McKinney,75070,Pre-K,Kindergarten,135,COGNIA : 2005,MCKINNEY ISD,43907,24443,#1 DUVALL ST,MCKINNEY,75069-3211,Dallas,57,10
Primrose School of Valley Ranch,57250021,FALSE,577Cimarron Trail,Irving,75063,Pre-K,Kindergarten,179,COGNIA : 2001,COPPELL ISD,57922,10999,200 S DENTON TAP RD,COPPELL,75019-3205,Dallas,57,10
Primrose School of Wellington,57251022,FALSE,2708 Flower Mound Rd,Flower Mound,75022,Pre-K,Kindergarten,157,COGNIA : 2005,LEWISVILLE ISD,61902,52528,P O BOX 217,LEWISVILLE,75067-0217,Dallas,57,11
Primrose School of West Allen,57252023,FALSE,106 Tatum Dr,Allen,75013,Pre-K,Kindergarten,177,COGNIA : 2001,ALLEN ISD,43901,19894,P O BOX 13,ALLEN,75013-0013,Dallas,57,10
Primrose School of West Carrollton,57253024,FALSE,4028 Nazarene Dr.,Carrollton,75010,Pre-K,Kindergarten,176,COGNIA : 2005,PLANO ISD,43910,55185,2700 W 15TH,PLANO,75075-7524,Dallas,57,10
Prince of Peace Christian School - Carrollton,57151101,FALSE,4004 N Midway Rd,Carrollton,75007,Pre-K,12,810,LSAC : 1990 | COGNIA : 2004 | LSAC : 2022 | COGNIA : 2022,PLANO ISD,43910,55185,2700 W 15TH,PLANO,75075-7524,Dallas,57,10
Providence Academy (NAUMS),57620001,FALSE,1388 State Highway 205,Rockwall,75032,Pre-K,12,73,COGNIA : 2016,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Providence Christian School of Texas,57134402,FALSE,5002 W. Lovers Lane,Dallas,75209,Pre-K,8,456,TAAPS : 2008,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Qalam Collegiate Academy,57110001,FALSE,1625 Ferris Rd.,Garland,75044,5,12,447,COGNIA : 2015,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Queen of All Saints Academy,57635001,FALSE,6019 Oakcrest Rd,Dallas,75248,Kindergarten,12,25,WASC : 2021,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Radiant STEM Academy,57300001,FALSE,2001 W Walnut Hill Ln,Irving,75038,Pre-K,12,470,COGNIA : 2017,IRVING ISD,57912,35030,P O BOX 152637,IRVING,75015-2637,Dallas,57,10
Redeemer Montessori School,57113001,FALSE,2700 Warren Circle,Irving,75062,Pre-K,6,0,COGNIA : 2011 | AMS : 2025,IRVING ISD,57912,35030,P O BOX 152637,IRVING,75015-2637,Dallas,57,10
Resolute Academy,57340001,FALSE,"2626 Cole Avenue, Ste. 300",Dallas,75204,9,12,778,ACTS : 2018 | MSA : 2025,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Rising Aviation High School,57610001,FALSE,15502 Wright Brothers Drive,Addison,75001,9,12,0,MSA : 2021,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Rowlett Christian Academy,57143001,TRUE,8200 Schrade Rd,Rowlett,75088,2,,0,ACTS : 1997,,,0,,,,Dallas,57,
Saint James Episcopal School - Dallas,57200101,FALSE,9845 McCree Road,Dallas,75238,Pre-K,Kindergarten,188,SAES : 1999 | SAES : 2009 | SAES : 2020,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Saint Michael Episcopal School - Dallas,57360001,FALSE,4344 Colgate Avenue,Dallas,75225,Pre-K,Kindergarten,330,SAES : 2019,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Salam Academy,57275001,FALSE,735 N Plano Rd,Richardson,75081,Pre-K,12,250,COGNIA : 2014,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Santa Clara of Assisi Catholic Academy,57100139,FALSE,4550 West Davis Street,Dallas,75211,Pre-K,8,171,TCCB ED : 1994,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Scofield Christian School,57119001,FALSE,7730 Abrams Rd,Dallas,75231,Early Education,6,269,ACSI : 1985,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Southwest Christian Academy,57178101,FALSE,611 N. Cedar Ridge,Duncanville,75116,Pre-K,10,56,TSDA : 1979,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Spanish World School - Grand,57320001,FALSE,7159 E. Grand Ave,Dallas,75223,Kindergarten,5,150,COGNIA : 2017 | COGNIA : 2018,COPPELL ISD,57922,10999,200 S DENTON TAP RD,COPPELL,75019-3205,Dallas,57,10
SPLASH MEDIA,57137001,TRUE,5010 ADDISON CIRCLE,ADDISON,75001,Kindergarten,12,0,COGNIA : 2014,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Andrew's Episcopal School Grand Prairie,57257101,TRUE,727 Hill St,Grand Prairie,75050,2,8,0,TAAPS : 2001,,,0,,,,Dallas,57,
St. Augustine Catholic School - Dallas,57100114,TRUE,1054 N St. Augustine Dr,Dallas,75217,Pre-K,8,134,TCCB ED : 1965,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Bernard of Clairvaux School,57100115,FALSE,1420 Old Gate Ln,Dallas,75218,Pre-K,8,195,TCCB ED : 1965,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Cecilia Catholic School - Dallas,57100116,FALSE,635 Mary Cliff Rd,Dallas,75208,Pre-K,8,215,TCCB ED : 1969,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Elizabeth of Hungary Catholic School,57100117,FALSE,4019 S Hampton Rd,Dallas,75224,Pre-K,8,264,TCCB ED : 1965,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. John School Ennis,57100006,TRUE,701 S Paris St,Ennis,75119,Kindergarten,12,0,TCCB ED : 1957,,,0,,,,Dallas,57,
St. John's Episcopal School - Dallas,57131101,FALSE,848 Harter Rd,Dallas,75218,Pre-K,8,506,ISAS : 1982 | SAES : 1985 | ISAS : 1992 | ISAS : 2003 | ISAS : 2012 | SAES : 2013 | ISAS : 2024 | SAES : 2024,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Joseph Catholic School - Richardson,57100141,FALSE,600 South Jupiter Rd.,Richardson,75081,Pre-K,8,295,TCCB ED : 1969,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
St. Luke School - Irving,57100121,TRUE,1023 Schulze Dr,Irving,75060,Pre-K,8,128,TCCB ED : 1965,IRVING ISD,57912,35030,P O BOX 152637,IRVING,75015-2637,Dallas,57,10
St. Mark's School of Texas,57139001,FALSE,10600 Preston Rd,Dallas,75230,1,12,924,ISAS : 1955 | ISAS : 1988 | ISAS : 1998 | ISAS : 2009 | ISAS : 2019,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Mary of Carmel School - Dallas,57100122,FALSE,1716 Singleton BLVD,Dallas,75212,Pre-K,8,153,TCCB ED : 1965,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Monica Catholic School - Dallas,57100125,FALSE,4140 Walnut Hill Ln,Dallas,75229,Pre-K,8,750,TCCB ED : 1972,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Patrick Catholic School - Dallas,57100126,FALSE,9635 Ferndale RD,Dallas,75238,Pre-K,8,521,TCCB ED : 1965,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
St. Philip & St. Augustine Catholic Academy,57100129,FALSE,8151 Military Pkwy,Dallas,75227,Pre-K,8,325,TCCB ED : 1965,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Philip's School and Community Center,57263101,FALSE,1600 Pennsylvania Ave,Dallas,75215,Pre-K,6,243,ISAS : 1992 | ISAS : 2002 | ISAS : 2012 | ISAS : 2022,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Pius X Catholic School - Dallas,57100130,FALSE,3030 Gus Thomasson RD.,Dallas,75228,Pre-K,8,346,TCCB ED : 1969,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Rita Catholic School Dallas,57100131,FALSE,12525 Inwood RD,Dallas,75244,Kindergarten,8,776,TCCB ED : 1965,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
St. Thomas Aquinas Catholic School,57100132,FALSE,3741 Abrams RD,Dallas,75214,Pre-K,8,877,TCCB ED : 1965,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
STEAMspark Montessori Experience,57210001,FALSE,1400 Valley View Lane,Farmers Branch,75234,Pre-K,6,130,COGNIA : 2025 | AMS : 2025,CARROLLTON-FARMERS BRANCH ISD,57903,26385,P O BOX 115186,CARROLLTON,75011-5186,Dallas,57,10
STEAMspark Montessori Experience,57540001,TRUE,1400 Valley View Lane,Farmers Branch,75234,Early Education,6,160,AMS : 2025,CARROLLTON-FARMERS BRANCH ISD,57903,26385,P O BOX 115186,CARROLLTON,75011-5186,Dallas,57,10
StoneGate Christian Academy,57370001,FALSE,1705 Esters Road,Irving,75061,Pre-K,12,95,AACS : 2021,IRVING ISD,57912,35030,P O BOX 152637,IRVING,75015-2637,Dallas,57,10
Texas Academy LLC,57500001,TRUE,"Thanksgiving Tower, 32nd Fl. Office C117, 1601 Elm Street",Dallas,75201,9,12,94,COGNIA : 2017,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Texas Torah Institute,57268001,FALSE,6506 Frankford Road,Dallas,75252,9,12,45,COGNIA : 2009,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
The Alexander School,57184001,TRUE,409 International Pkwy,Richardson,75081,8,12,0,COGNIA : 1978,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
The American Academy - Texas (Digital Learning),57535001,FALSE,"4514 Cole Avenue, Suite 600",Dallas,75205,Kindergarten,12,500,COGNIA : 2026,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
The Cambridge School of Dallas,57199010,FALSE,3202 Royal Lane,Dallas,75229-1895,5,12,109,COGNIA : 2006,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
The Children's Center,57325001,FALSE,"1450 Old Gate Lane, Suite 100",Dallas,75218,Pre-K,Kindergarten,80,COGNIA : 2014,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
The Children's Courtyard #3013,57702001,FALSE,8560 Esters Blvd,Irving,75063,Pre-K,Pre-K,95,COGNIA : 2016,IRVING ISD,57912,35030,P O BOX 152637,IRVING,75015-2637,Dallas,57,10
The Children's Courtyard #3018,57700001,FALSE,4285 S. Carrier Pkwy,Grand Prairie,75052,Pre-K,Kindergarten,85,COGNIA : 2015,GRAND PRAIRIE ISD,57910,26921,BOX 531170,GRAND PRAIRIE,75053-1170,Dallas,57,10
The Children's Courtyard #3053,57703001,FALSE,"8909 Valley Ranch Pkwy W	",Irving,75063,Pre-K,Pre-K,67,COGNIA : 2016,AUSTIN ISD,227901,86516,1111 W 6TH ST,AUSTIN,78703-5399,Dallas,57,13
The Children's Courtyard #3070,57701001,TRUE,129 Town Center Blvd,Coppell,75019,Pre-K,Kindergarten,159,COGNIA : 2015,COPPELL ISD,57922,10999,200 S DENTON TAP RD,COPPELL,75019-3205,Dallas,57,10
The Covenant School of Dallas,57125001,FALSE,7300 VALLEY VIEW LANE,DALLAS,75240,Kindergarten,12,750,SAIS : 2023,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
The Episcopal School of Dallas,57132001,FALSE,4100 Merrell Rd,Dallas,75229,Pre-K,12,"1,195",ISAS : 1983 | ISAS : 2012 | ISAS : 2022,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
The Goddard School of McKinney,157107001,TRUE,3952 S. Ridge Road,McKinney,75070,Early Education,Kindergarten,0,COGNIA : 2011,IRVING ISD,57912,35030,P O BOX 152637,IRVING,75015-2637,Dallas,57,10
The Hayes School of Wonder,57520001,FALSE,2435 Kinwest Parkway,Irving,75063,Pre-K,1,45,COGNIA : 2024,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
The Hearing School of North Texas,57136001,TRUE,151 N Moore Street,Coppell,75019,Early Education,Kindergarten,0,COGNIA : 2014,COPPELL ISD,57922,10999,200 S DENTON TAP RD,COPPELL,75019-3205,Dallas,57,10
The Highlands School,57100005,FALSE,1451 E Northgate Dr,Irving,75062,Pre-K,12,444,TCCB ED : 1986,IRVING ISD,57912,35030,P O BOX 152637,IRVING,75015-2637,Dallas,57,10
The Hockaday School,57191001,FALSE,11600 Welch Rd,Dallas,75229,Pre-K,12,"1,114",ISAS : 1955 | ISAS : 2006 | ISAS : 2016,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
The Kessler School,57240011,FALSE,1822 W. 10th Street,Dallas,75208,Pre-K,8,130,COGNIA : 2006,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
The King's Academy,57400001,FALSE,1819 Martin Luther King Jr. Blvd.,Dallas,75215,Early Education,7,92,COGNIA : 2021 | ACSI : 2021,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
The Lamplighter School,57144101,FALSE,11611 Inwood Rd,Dallas,75229,Pre-K,4,459,ISAS : 1972 | ISAS : 2003 | ISAS : 2013 | ISAS : 2024,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
The Notre Dame School of Dallas,57100009,FALSE,2018 Allen St,Dallas,75204,Pre-K,12,152,TCCB ED : 1981,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
The Saint Timothy School,57345001,FALSE,4333 Cole Avenue,Dallas,75205,Pre-K,12,54,COGNIA : 2025,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
The St. Anthony School ,57133401,FALSE,2030 Denton Drive,Carrollton,75006,Kindergarten,12,84,TAAPS : 2004,CARROLLTON-FARMERS BRANCH ISD,57903,26385,P O BOX 115186,CARROLLTON,75011-5186,Dallas,57,10
The Westwood School,57292002,FALSE,14295 Midway Rd,Addison,75001,Pre-K,12,91,COGNIA : 2008,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
The Westwood School Lower School Campus,57292001,TRUE,14340 Proton Rd,Dallas,75244,Pre-K,12,128,COGNIA : 2007,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
The Winston School - Dallas,57193001,FALSE,5707 Royal Lane,Dallas,75229,Kindergarten,12,150,ISAS : 1979 | ISAS : 1989 | ISAS : 1999 | ISAS : 2010 | ISAS : 2020,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
TLC Schools,57380001,TRUE,5200 Hedgcoxe Rd,Plano,75024,Pre-K,Kindergarten,100,COGNIA : 2009,PLANO ISD,43910,55185,2700 W 15TH,PLANO,75075-7524,Dallas,57,10
Trinity Christian Academy - Addison,57123001,FALSE,17001 Addison Rd,Addison,75001,Pre-K,12,"1,500",COGNIA : 1984 | CESA : 2022,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Trinity Christian Preschool - Cedar Hill,57115001,FALSE,1231 East Pleasant Run Road,Cedar Hill,75104,Pre-K,Kindergarten,100,ACTS : 2024,CEDAR HILL ISD,57904,8258,285 UPTOWN BLVD,CEDAR HILL,75104,Dallas,57,10
Truth Academy,57660001,FALSE,7912 Antoinette St,Dallas,75217,Pre-K,3,35,ACSI : 2026,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Tyler Street Christian Academy School,57126001,TRUE,915 W 9TH ST,Dallas,75208,Pre-K,12,0,COGNIA : 1988,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Uchenna Academy,57570001,FALSE,3837 Simpson Stuart Rd,Dallas,75241,7,12,0,MSA : 2026,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Ursuline Academy of Dallas,57100008,FALSE,4900 Walnut Hill Lane,Dallas,75229,9,12,899,ISAS : 1997 | ISAS : 2007 | ISAS : 2017,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Vanguard Preparatory School,57201101,FALSE,4240 Sigma Rd,Dallas,75244,Pre-K,12,105,COGNIA : 1998,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Waterfall Academy,57655001,FALSE,901 Waterfall Way,Richardson,75080,Pre-K,12,32,COGNIA : 2026,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Wesley Prep,57261031,FALSE,9200 Inwood Road,Dallas,75220,Pre-K,7,434,COGNIA : 2007,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Wesleyan Academe,57560001,FALSE,1615 W Airport Fwy,Irving,75062,Pre-K,3,72,MSA : 2026,IRVING ISD,57912,35030,P O BOX 152637,IRVING,75015-2637,Dallas,57,10
West Dallas Community School,57612001,FALSE,2300 Canada Dr.,Dallas,75212,Pre-K,8,250,TAAPS : 2025,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
White Rock Montessori,57420001,FALSE,1601 Oates Dr.,Dallas,75228-4241,Pre-K,8,175,AMS : 2023,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
White Rock North School,57160101,FALSE,9727 White Rock Trl,Dallas,75238,Pre-K,6,365,COGNIA : 1996,RICHARDSON ISD,57916,38043,400 S GREENVILLE AVE,RICHARDSON,75081-4198,Dallas,57,10
Wonderland Montessori of Las Colinas,57205001,FALSE,431 East Royal Lane,Irving,75039,Early Education,Kindergarten,96,COGNIA : 2024,CARROLLTON-FARMERS BRANCH ISD,57903,26385,P O BOX 115186,CARROLLTON,75011-5186,Dallas,57,10
Yavneh Academy - now Akiba Yavneh Academy,57188001,TRUE,12324 Merit,Dallas,72751,9,12,124,TAAPS : 1998,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
Zion Lutheran School - Dallas,57155101,FALSE,6121 E Lovers Lane,Dallas,75214,Pre-K,8,0,LSAC : 1987 | LSAC : 2020 | LSAC : 2025,DALLAS ISD,57905,158932,3700 ROSS AVE,DALLAS,75204-5491,Dallas,57,10
